JournalCode	JournalLib	EcritureNum	EcritureDate	CompteNum	CompteLib	CompAuxNum	CompAuxLib	PieceRef	PieceDate	EcritureLib	Debit	Credit	EcritureLet	DateLet	ValidDate	Montantdevise	Idevise
OD	OPERATIONS DIVERSES	OD000009	20240901	45510000	C/C FABRICE MOLA			x	20240901	Regul c/c fm	0,00	7178,00			20250831		
OD	OPERATIONS DIVERSES	OD000010	20240901	40100900	COLLECTIFS FOURNISSEURS  	0IMPACT	IMPACT ISO 9001	x	20240901	iso reglé par fm	5574,00	0,00			20250831		
OD	OPERATIONS DIVERSES	OD000010	20240901	45510000	C/C FABRICE MOLA			x	20240901	iso reglé par fm	0,00	5574,00			20250831		
OI	OPERATIONS INVENTAIRE	OI000001	20240901	41600000	CLIENTS DOUTEUX OU LITIGE			x	20240901	IMP SDD NBRE00003 FR87ZZZ47316	0,00	2880,00			20250831		
OI	OPERATIONS INVENTAIRE	OI000001	20240901	47130000	PL IMPAYE			x	20240901	Impayé douteux Prel attente	980,00	0,00			20250831		
OI	OPERATIONS INVENTAIRE	OI000001	20240901	41600000	CLIENTS DOUTEUX OU LITIGE			x	20240901	REJ SDD NBRE00002 FR87ZZZ47316	0,00	980,00			20250831		
OI	OPERATIONS INVENTAIRE	OI000001	20240901	47130000	PL IMPAYE			x	20240901	Impayé douteux Prel attente	657,60	0,00			20250831		
OI	OPERATIONS INVENTAIRE	OI000001	20240901	41600000	CLIENTS DOUTEUX OU LITIGE			x	20240901	REJ SDD NBRE00002 FR87ZZZ47316	0,00	657,60			20250831		
OI	OPERATIONS INVENTAIRE	OI000001	20240901	41100900	COLLECTIFS CLIENTS       	90006332	MDB & CO	x	20240901	Impayé  MDB & CO	480,00	0,00			20250831		
OI	OPERATIONS INVENTAIRE	OI000001	20240901	41100900	COLLECTIFS CLIENTS       	90006564	SIBERIC FROID ET CLIMATISATION	x	20240901	Impayé   SIBERIC FROID ET CLIM	720,00	0,00			20250831		
OI	OPERATIONS INVENTAIRE	OI000001	20240901	41600000	CLIENTS DOUTEUX OU LITIGE			x	20240901	IMP SDD NBRE00002 FR87ZZZ47316	0,00	1200,00			20250831		
OI	OPERATIONS INVENTAIRE	OI000001	20240901	41100900	COLLECTIFS CLIENTS       	90006595	SDV EXPRESS	4060009383	20240901	SDV EXPRESS	1054,80	0,00			20250831		
OI	OPERATIONS INVENTAIRE	OI000001	20240901	41600000	CLIENTS DOUTEUX OU LITIGE			4060009383	20240901	24060009383 SDV EXPRESS	0,00	1054,80			20250831		
OI	OPERATIONS INVENTAIRE	OI000001	20240901	41100900	COLLECTIFS CLIENTS       	90006595	SDV EXPRESS	4070009443	20240901	SDV EXPRESS	168,00	0,00			20250831		
OI	OPERATIONS INVENTAIRE	OI000001	20240901	41600000	CLIENTS DOUTEUX OU LITIGE			4070009443	20240901	24070009443 SDV EXPRESS	0,00	168,00			20250831		
